"furniture shop","магазин мебели"
"Back to My Orders","Вернуться к списку заказов"
"Use as my default billing address","Использовать мой платежный адрес по умолчанию"
"Use as my default shipping address","Использовать в качестве моего адреса доставки по умолчанию"
"* Fields are required","* Поля обязательны для заполнения"
"Delivery address","Адреса доставки"
"Primary address","Основна адреса"
"New Address","Новый адрес"
"Login Failed!","Ошибка входа!"
"Error","Ошибка"
"Site development","Разработка сайта"
"Previous article","Предыдущая статья"
"Next article","Следующая статья"
"product","товар"
"Create an account","Завести аккаунт"
"The password needs at least ","Паролю нужно как минимум "
" characters. "," символов "
"Welcome, %1!","Добро пожаловать, %1!"
"Success","Успех"
"Login Successfully!","Вход успешный!"
"Sign Out","Выйти"
"Logout Successfully!","Выход успешный!"
"You have signed out and will go to our homepage. Please wait ...","Вы вышли из системы и перейдете на нашу домашнюю страницу. Пожалуйста, подождите..."
"Register Successfully!","Регистрация успешная!"
"Register Failed!","Ошибка регистрации!"
"Failed to Send Email!","Ошибка отправки!"
"Sent Email Successfully!","Отправка успешная!"
"Logout Failed!","Ошибка выхода!"
"rules","правилам"
"All reviews are moderated according to the","Отзывы проходят модерацию согласно"
"Print receipt","Распечатать квитанцию"
"Feedback","Обратная связь"
"Contacts","Контакты"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Спасибо, что обратились к нам с вашими комментариями и вопросами. Мы ответим вам очень скоро."
"Click <a href=""%1"">here</a> to continue shopping.","Нажмите <a href=""%1"">сдесь</a> чтобы продолжить покупки."
"Discount","Скидка:"
"Mage_Paypal::Discount","Скидка:"
"Mage_Rss::Discount","Скидка:"
"Mage_Sales::Discount","Скидка:"
"Mage_Rss::Discount (%s)","Скидка: (%s)"
"Mage_Sales::Discount (%s)","Скидка: (%s)"
"Total:","Всего:"
"Please log in before adding product to your wishlist.","Пожалуйста, войдите в систему, прежде чем добавлять товар в свой список желаний."
"You have signed out and will go to our homepage. Please wait ...","Вы вышли из системы и пейдете на главную страницу. Пожалуйста подождите..."
"Please wait ...","Пожалуйста подождите..."
"You have signed out and will go to our homepage.","Вы вышли из системы и пейдете на главную страницу."
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
